Timestamp,Please enter your participant ID,What languages are you familiar with?,Do you have experience with language learning?,Have you used conversational assistants or language-learning chatbots? ,"When I was using Cultural Pen-Pal agent, I lost track of the world around me.  ",I lost myself in this experience .  ,The time I spent using Cultural Pen-Pal agent just slipped away. ,I found this agent confusing to use. ,I felt frustrated while using this Cultural Pen-Pal agent. ,Using this Cultural Pen-Pal agent was taxing.,This Cultural Pen-Pal agen was attractive.,This experience was aesthetically appealing.,Cultural Pen-Pal agent appealed to be visual senses. ,I would recommend Cultural Pen-Pal agent to my family and friends.,My experience was rewarding. ,I felt interested in this experience. ,Memory
2025-04-02 11:51:35.495,13,"English, Hindi, Dutch",Yes,Yes,Strongly Disagree,Strongly Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Yes
2025-04-02 13:50:10.310,14,"Ukrainian, Spanish, Russian, English, Dutch, Slovak",Yes,Yes,Disagree,Disagree,Disagree,Strongly agree,Agree,Agree,Disagree,Disagree,Disagree,Strongly Disagree,Disagree,Disagree,No
2025-04-02 14:04:49.936,14,"Spanish, Ukrainian",Yes,Yes,Disagree,Strongly Disagree,Strongly Disagree,Strongly agree,Strongly agree,Strongly agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Yes
2025-04-01 13:51:49.306,15,"Dutch, German, English, few words french",Yes,No,Neither agree nor disagree,Disagree,Disagree,Neither agree nor disagree,Disagree,Disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Yes
2025-04-03 11:04:20.012,16,"Slovak, English, German",Yes,No,Agree,Neither agree nor disagree,Agree,Strongly Disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Yes
2025-04-03 11:22:52.366,16,"Slovak, English, German",Yes,No,Agree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Disagree,Neither agree nor disagree,No
2025-04-01 10:16:17.214,17,"english, slovak, dutch",Yes,Yes,Neither agree nor disagree,Disagree,Agree,Agree,Disagree,Disagree,Agree,Disagree,Disagree,Neither agree nor disagree,Agree,Strongly agree,Yes
2025-04-01 10:26:43.099,17,"english, slovak, dutch",Yes,Yes,Strongly Disagree,Agree,Disagree,Strongly agree,Agree,Neither agree nor disagree,Agree,Disagree,Disagree,Neither agree nor disagree,Disagree,Agree,No
2025-03-31 15:17:06.406,18,"Greek, English",No,No,Agree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Yes
2025-03-31 15:42:33.471,18,"Greek, English",No,No,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,No
2025-03-31 14:14:47.788,20,"Turkish, English, French",Yes,No,Agree,Neither agree nor disagree,Agree,Disagree,Agree,Neither agree nor disagree,Disagree,Disagree,Disagree,Neither agree nor disagree,Agree,Agree,Yes
2025-03-31 14:27:22.599,20,"Turkish, English, French",Yes,No,Disagree,Disagree,Neither agree nor disagree,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Neither agree nor disagree,Disagree,No
2025-04-04 14:06:46.350,21,"Turkish, English, French, Dutch",Yes,No,Disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly Disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,No
2025-04-04 14:21:05.593,21,"Turkish, English, French, Dutch",Yes,No,Neither agree nor disagree,Neither agree nor disagree,Agree,Strongly Disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Yes
2025-04-02 21:01:03.305,22,"Turkish, English, Dutch",Yes,No,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly Disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Disagree,Neither agree nor disagree,No
2025-04-02 21:15:27.978,22,"Turkish, English, Dutch",Yes,No,Neither agree nor disagree,Neither agree nor disagree,Agree,Disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Agree,Yes
2025-04-01 13:52:07.483,23,english,Yes,No,Agree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Disagree,Disagree,Agree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Agree,Agree,No
2025-04-01 14:04:28.875,23,english,Yes,No,Agree,Agree,Agree,Strongly Disagree,Disagree,Agree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Yes
2025-04-01 14:36:40.869,24,"Dutch, English, Japanese",Yes,No,Agree,Agree,Agree,Neither agree nor disagree,Disagree,Disagree,Neither agree nor disagree,Agree,Disagree,Neither agree nor disagree,Agree,Agree,Yes
2025-04-01 14:43:57.336,24,"Dutch, English, Japanese",Yes,No,Neither agree nor disagree,Neither agree nor disagree,Disagree,Agree,Neither agree nor disagree,Agree,Disagree,Disagree,Disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,No
2025-03-29 19:33:52.570,25,"Marathi, Hindi, English",Yes,No,Neither agree nor disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Disagree,Disagree,Disagree,Disagree,Neither agree nor disagree,No
2025-03-29 19:50:49.328,25,marathi English Hindi,Yes,Yes,Neither agree nor disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Disagree,Disagree,Neither agree nor disagree,Disagree,Agree,Agree,Yes
2025-04-01 15:00:34.230,26,English,Yes,No,Neither agree nor disagree,Disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Yes
2025-04-01 15:09:26.464,26,english,Yes,No,Neither agree nor disagree,Strongly Disagree,Disagree,Strongly agree,Neither agree nor disagree,Agree,Disagree,Disagree,Disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,No
2025-03-31 13:59:40.454,27,"English, Dutch, Hindi",Yes,Yes,Strongly Disagree,Disagree,Strongly Disagree,Strongly agree,Agree,Strongly agree,Neither agree nor disagree,Disagree,Disagree,Disagree,Neither agree nor disagree,Agree,No
2025-03-31 14:08:26.424,27,"English, Dutch, Hindi",Yes,Yes,Strongly Disagree,Strongly Disagree,Strongly Disagree,Neither agree nor disagree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Neither agree nor disagree,Disagree,Yes
2025-03-31 15:34:40.406,28,"Norwegian, English, Dutch, and Spanish",Yes,No,Neither agree nor disagree,Disagree,Disagree,Agree,Strongly agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Disagree,Disagree,Agree,Yes
2025-03-31 15:50:09.000,28,"Norwegian, English, Dutch, and Spanish",Yes,No,Neither agree nor disagree,Disagree,Neither agree nor disagree,Agree,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Disagree,Agree,No
2025-03-31 15:56:17.563,29,"Turkish, English, German",Yes,No,Neither agree nor disagree,Disagree,Neither agree nor disagree,Disagree,Disagree,Agree,Neither agree nor disagree,Agree,Disagree,Disagree,Neither agree nor disagree,Agree,No
2025-03-31 16:05:38.592,29,"Turkish, English, German",Yes,No,Disagree,Neither agree nor disagree,Disagree,Disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Yes
2025-03-31 16:22:02.716,30,Chinese,Yes,No,Strongly Disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Disagree,Disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Disagree,Agree,Agree,Yes
2025-03-31 16:29:57.005,30,Chinese,Yes,No,Disagree,Disagree,Agree,Neither agree nor disagree,Disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Agree,Agree,No
2025-04-04 14:39:22.413,19,"Turkish, English, (a bit) Dutch",Yes,No,Neither agree nor disagree,Neither agree nor disagree,Agree,Disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Agree,Yes
2025-04-04 14:49:46.866,19,"Turkish, English, (a bit) Dutch",Yes,No,Neither agree nor disagree,Neither agree nor disagree,Disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,No
2025-04-05 21:06:18.920,6,Dutch English French,Yes,No,Disagree,Disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Disagree,Disagree,Disagree,No
2025-04-05 21:13:48.163,6,English dutch French,Yes,No,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Yes
2025-04-05 21:21:27.299,7,English Dutch German,Yes,No,Neither agree nor disagree,Disagree,Neither agree nor disagree,Agree,Agree,Neither agree nor disagree,Disagree,Agree,Disagree,Neither agree nor disagree,Neither agree nor disagree,Agree,No
2025-04-05 21:32:31.000,7,English dutch German,Yes,No,Agree,Neither agree nor disagree,Agree,Agree,Disagree,Strongly Disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,Agree,Agree,Yes
